Time [s],Packet ID,MOSI,MISO
0.0018077300,0,0x55AA,0x0000
0.0018106800,0,0x2DE4,0x0000
0.0018136500,0,0x01FF,0x0000
0.0018166100,0,0x1400,0x0000
0.0018195700,0,0x1400,0x0000
0.0018225300,0,0x1400,0x0000
0.0018255000,0,0x1400,0x0000
0.0018284600,0,0x1400,0x0000
0.0018314200,0,0x1400,0x0000
0.0018343900,0,0x1400,0x0000
0.0018373500,0,0x1400,0x0000
0.0018403100,0,0x1400,0x0000
0.0018432700,0,0x1400,0x0000
0.0018462400,0,0x1400,0x0000
0.0018492000,0,0x1400,0x0000
0.0018521600,0,0x1400,0x0000
0.0018551300,0,0x1400,0x0000
0.0018580900,0,0x1400,0x0000
0.0018610500,0,0x1400,0x0000
0.0018640100,0,0x1400,0x0000
0.0018669800,0,0x1400,0x0000
0.0018699400,0,0x1400,0x0000
0.0018729000,0,0x1400,0x0000
0.0018758700,0,0x1400,0x0000
0.0018788300,0,0x1400,0x0000
0.0018817900,0,0x1400,0x0000
0.0018847600,0,0x1400,0x0000
0.0018877200,0,0x1400,0x0000
0.0018906800,0,0x1400,0x0000
0.0018936500,0,0x1400,0x0000
0.0018966100,0,0x1400,0x0000
0.0018995700,0,0x1400,0x0000
0.0019025300,0,0x1400,0x0000
0.0019055000,0,0x1400,0x0000
0.0019084600,0,0x1400,0x0000
0.0019114200,0,0x1400,0x0000
0.0019143900,0,0x1400,0x0000
0.0019173500,0,0x1400,0x0000
0.0019203100,0,0x1400,0x0000
0.0019232800,0,0x1400,0x0000
0.0019262400,0,0x1400,0x0000
0.0019292000,0,0x1400,0x0000
0.0019321600,0,0x1400,0x0000
0.0019351300,0,0x1400,0x0000
0.0019380900,0,0x1400,0x0000
0.0019410500,0,0x1400,0x0000
0.0019440200,0,0x1400,0x0000
0.0019469800,0,0x1400,0x0000
0.0019499400,0,0x1400,0x0000
0.0019529000,0,0x1400,0x0000
0.0019558700,0,0x1400,0x0000
0.0019588300,0,0x1400,0x0000
0.0019617900,0,0x1400,0x0000
0.0019647600,0,0x1400,0x0000
0.0019677200,0,0x1400,0x0000
0.0019706800,0,0x1400,0x0000
0.0019736500,0,0x1400,0x0000
0.0019766100,0,0x1400,0x0000
0.0019795700,0,0x1400,0x0000
0.0019825300,0,0x1400,0x0000
0.0019855000,0,0x1400,0x0000
0.0019884600,0,0x1400,0x0000
0.0019914200,0,0x1400,0x0000
