Time [s],Packet ID,MOSI,MISO
0.0008021600,0,0x55AA,0x0000
0.0008051100,0,0x2DE4,0x0000
0.0008080800,0,0x01FF,0x0000
0.0008110400,0,0x1774,0x0000
0.0008140000,0,0x1774,0x0000
0.0008169700,0,0x1774,0x0000
0.0008199300,0,0x1774,0x0000
0.0008228900,0,0x1774,0x0000
0.0008258600,0,0x1774,0x0000
0.0008288200,0,0x1774,0x0000
0.0008317800,0,0x1774,0x0000
0.0008347500,0,0x1774,0x0000
0.0008377100,0,0x1774,0x0000
0.0008406700,0,0x1774,0x0000
0.0008436300,0,0x1774,0x0000
0.0008466000,0,0x1774,0x0000
0.0008495600,0,0x1774,0x0000
0.0008525200,0,0x1774,0x0000
0.0008554900,0,0x1774,0x0000
0.0008584500,0,0x1774,0x0000
0.0008614100,0,0x1774,0x0000
0.0008643800,0,0x1774,0x0000
0.0008673400,0,0x1774,0x0000
0.0008703000,0,0x1774,0x0000
0.0008732600,0,0x1774,0x0000
0.0008762300,0,0x1774,0x0000
0.0008791900,0,0x1774,0x0000
0.0008821500,0,0x1774,0x0000
0.0008851100,0,0x1774,0x0000
0.0008880800,0,0x1774,0x0000
0.0008910400,0,0x1774,0x0000
0.0008940000,0,0x1774,0x0000
0.0008969700,0,0x1774,0x0000
0.0008999300,0,0x1774,0x0000
0.0009028900,0,0x1774,0x0000
0.0009058600,0,0x1774,0x0000
0.0009088200,0,0x1774,0x0000
0.0009117800,0,0x1774,0x0000
0.0009147500,0,0x1774,0x0000
0.0009177100,0,0x1774,0x0000
0.0009206700,0,0x1774,0x0000
0.0009236300,0,0x1774,0x0000
0.0009266000,0,0x1774,0x0000
0.0009295600,0,0x1774,0x0000
0.0009325200,0,0x1774,0x0000
0.0009354900,0,0x1774,0x0000
0.0009384500,0,0x1774,0x0000
0.0009414100,0,0x1774,0x0000
0.0009443800,0,0x1774,0x0000
0.0009473400,0,0x1774,0x0000
0.0009503000,0,0x1774,0x0000
0.0009532600,0,0x1774,0x0000
0.0009562300,0,0x1774,0x0000
0.0009591900,0,0x1774,0x0000
0.0009621500,0,0x1774,0x0000
0.0009651100,0,0x1774,0x0000
0.0009680800,0,0x1774,0x0000
0.0009710400,0,0x1774,0x0000
0.0009740000,0,0x1774,0x0000
0.0009769700,0,0x1774,0x0000
0.0009799300,0,0x1774,0x0000
0.0009828900,0,0x1774,0x0000
0.0009858600,0,0x1774,0x0000
0.0009888200,0,0x1774,0x0000
0.0009917800,0,0x1774,0x0000
0.0009947500,0,0x1774,0x0000
0.0009977100,0,0x1774,0x0000
0.0010006700,0,0x1774,0x0000
0.0010036300,0,0x1774,0x0000
0.0010066000,0,0x1774,0x0000
0.0010095600,0,0x1774,0x0000
0.0010125200,0,0x1774,0x0000
0.0010154900,0,0x1774,0x0000
0.0010184500,0,0x1774,0x0000
0.0010214100,0,0x1774,0x0000
0.0010243800,0,0x1774,0x0000
0.0010273400,0,0x1774,0x0000
0.0010303000,0,0x1774,0x0000
0.0010332600,0,0x1774,0x0000
0.0010362300,0,0x1774,0x0000
0.0010391900,0,0x1774,0x0000
0.0010421500,0,0x1774,0x0000
0.0010451200,0,0x1774,0x0000
0.0010480800,0,0x1774,0x0000
0.0010510400,0,0x1774,0x0000
0.0010540000,0,0x1774,0x0000
0.0010569700,0,0x1774,0x0000
0.0010599300,0,0x1774,0x0000
0.0010628900,0,0x1774,0x0000
0.0010658600,0,0x1774,0x0000
0.0010688200,0,0x1774,0x0000
0.0010717800,0,0x1774,0x0000
0.0010747500,0,0x1774,0x0000
0.0010777100,0,0x1774,0x0000
0.0010806700,0,0x1774,0x0000
0.0010836300,0,0x1774,0x0000
0.0010866000,0,0x1774,0x0000
0.0010895600,0,0x1774,0x0000
0.0010925200,0,0x1774,0x0000
0.0010954900,0,0x1774,0x0000
0.0010984500,0,0x1774,0x0000
0.0011014100,0,0x1774,0x0000
0.0011043800,0,0x1774,0x0000
0.0011073400,0,0x1774,0x0000
0.0011103000,0,0x1774,0x0000
0.0011132600,0,0x1774,0x0000
0.0011162300,0,0x1774,0x0000
0.0011191900,0,0x1774,0x0000
0.0011221500,0,0x1774,0x0000
0.0011251200,0,0x1774,0x0000
0.0011280800,0,0x1774,0x0000
0.0011310400,0,0x1774,0x0000
0.0011340100,0,0x1774,0x0000
0.0011369700,0,0x1774,0x0000
0.0011399300,0,0x1774,0x0000
0.0011428900,0,0x1774,0x0000
0.0011458600,0,0x1774,0x0000
0.0011488200,0,0x1774,0x0000
0.0011517800,0,0x1774,0x0000
0.0011547500,0,0x1774,0x0000
0.0011577100,0,0x1774,0x0000
0.0011606700,0,0x1774,0x0000
0.0011636300,0,0x1774,0x0000
0.0011666000,0,0x1774,0x0000
0.0011695600,0,0x1774,0x0000
0.0011725200,0,0x1774,0x0000
0.0011754900,0,0x1774,0x0000
0.0011784500,0,0x1774,0x0000
0.0011814100,0,0x1774,0x0000
0.0011843800,0,0x1774,0x0000
0.0011873400,0,0x1774,0x0000
0.0011903000,0,0x1774,0x0000
0.0011932600,0,0x1774,0x0000
0.0011962300,0,0x1774,0x0000
0.0011991900,0,0x1774,0x0000
0.0012021500,0,0x1774,0x0000
0.0012051200,0,0x1774,0x0000
0.0012080800,0,0x1774,0x0000
0.0012110400,0,0x1774,0x0000
0.0012140100,0,0x1774,0x0000
0.0012169700,0,0x1774,0x0000
0.0012199300,0,0x1774,0x0000
0.0012228900,0,0x1774,0x0000
0.0012258600,0,0x1774,0x0000
0.0012288200,0,0x1774,0x0000
0.0012317800,0,0x1774,0x0000
0.0012347500,0,0x1774,0x0000
0.0012377100,0,0x1774,0x0000
0.0012406700,0,0x1774,0x0000
0.0012436400,0,0x1774,0x0000
0.0012466000,0,0x1774,0x0000
0.0012495600,0,0x1774,0x0000
0.0012525200,0,0x1774,0x0000
0.0012554900,0,0x1774,0x0000
0.0012584500,0,0x1774,0x0000
0.0012614100,0,0x1774,0x0000
0.0012643800,0,0x1774,0x0000
0.0012673400,0,0x1774,0x0000
0.0012703000,0,0x1774,0x0000
0.0012732600,0,0x1774,0x0000
0.0012762300,0,0x1774,0x0000
0.0012791900,0,0x1774,0x0000
0.0012821500,0,0x1774,0x0000
0.0012851200,0,0x1774,0x0000
0.0012880800,0,0x1774,0x0000
0.0012910400,0,0x1774,0x0000
0.0012940100,0,0x1774,0x0000
0.0012969700,0,0x1774,0x0000
0.0012999300,0,0x1774,0x0000
0.0013028900,0,0x1774,0x0000
0.0013058600,0,0x1774,0x0000
0.0013088200,0,0x1774,0x0000
0.0013117800,0,0x1774,0x0000
0.0013147500,0,0x1774,0x0000
0.0013177100,0,0x1774,0x0000
0.0013206700,0,0x1774,0x0000
0.0013236400,0,0x1774,0x0000
0.0013266000,0,0x1774,0x0000
0.0013295600,0,0x1774,0x0000
0.0013325200,0,0x1774,0x0000
0.0013354900,0,0x1774,0x0000
0.0013384500,0,0x1774,0x0000
0.0013414100,0,0x1774,0x0000
0.0013443800,0,0x1774,0x0000
0.0013473400,0,0x1774,0x0000
0.0013503000,0,0x1774,0x0000
0.0013532600,0,0x1774,0x0000
0.0013562300,0,0x1774,0x0000
0.0013591900,0,0x1774,0x0000
0.0013621500,0,0x1774,0x0000
0.0013651200,0,0x1774,0x0000
0.0013680800,0,0x1774,0x0000
0.0013710400,0,0x1774,0x0000
0.0013740100,0,0x1774,0x0000
0.0013769700,0,0x1774,0x0000
0.0013799300,0,0x1774,0x0000
0.0013828900,0,0x1774,0x0000
0.0013858600,0,0x1774,0x0000
0.0013888200,0,0x1774,0x0000
0.0013917800,0,0x1774,0x0000
0.0013947500,0,0x1774,0x0000
0.0013977100,0,0x1774,0x0000
0.0014006700,0,0x1774,0x0000
0.0014036400,0,0x1774,0x0000
0.0014066000,0,0x1774,0x0000
0.0014095600,0,0x1774,0x0000
0.0014125200,0,0x1774,0x0000
0.0014154900,0,0x1774,0x0000
0.0014184500,0,0x1774,0x0000
0.0014214100,0,0x1774,0x0000
0.0014243800,0,0x1774,0x0000
0.0014273400,0,0x1774,0x0000
0.0014303000,0,0x1774,0x0000
0.0014332600,0,0x1774,0x0000
0.0014362300,0,0x1774,0x0000
0.0014391900,0,0x1774,0x0000
0.0014421500,0,0x1774,0x0000
0.0014451200,0,0x1774,0x0000
0.0014480800,0,0x1774,0x0000
0.0014510400,0,0x1774,0x0000
0.0014540100,0,0x1774,0x0000
0.0014569700,0,0x1774,0x0000
0.0014599300,0,0x1774,0x0000
0.0014628900,0,0x1774,0x0000
0.0014658600,0,0x1774,0x0000
0.0014688200,0,0x1774,0x0000
0.0014717800,0,0x1774,0x0000
0.0014747500,0,0x1774,0x0000
0.0014777100,0,0x1774,0x0000
0.0014806700,0,0x1774,0x0000
0.0014836400,0,0x1774,0x0000
