Time[s], 通道 0, 通道 1, 通道 2, 通道 3
0.00000000, 0, 0, 1, 0
0.00136146, 0, 0, 1, 1
0.00136985, 0, 0, 1, 0
0.00157310, 0, 0, 0, 0
0.00157463, 1, 0, 0, 0
0.00157476, 0, 0, 0, 0
0.00157477, 0, 1, 0, 0
0.00157491, 1, 1, 0, 0
0.00157503, 0, 0, 0, 0
0.00157518, 1, 0, 0, 0
0.00157531, 0, 0, 0, 0
0.00157532, 0, 1, 0, 0
0.00157546, 1, 1, 0, 0
0.00157559, 0, 0, 0, 0
0.00157574, 1, 0, 0, 0
0.00157587, 0, 0, 0, 0
0.00157588, 0, 1, 0, 0
0.00157601, 1, 1, 0, 0
0.00157615, 0, 0, 0, 0
0.00157629, 1, 0, 0, 0
0.00157642, 0, 0, 0, 0
0.00157643, 0, 1, 0, 0
0.00157657, 1, 1, 0, 0
0.00157670, 0, 1, 0, 0
0.00157685, 1, 1, 0, 0
0.00157698, 0, 0, 0, 0
0.00157713, 1, 0, 0, 0
0.00157726, 0, 1, 0, 0
0.00157740, 1, 1, 0, 0
0.00157754, 0, 0, 0, 0
0.00157768, 1, 0, 0, 0
0.00157781, 0, 0, 0, 0
0.00157782, 0, 1, 0, 0
0.00157796, 1, 1, 0, 0
0.00157809, 0, 0, 0, 0
0.00157824, 1, 0, 0, 0
0.00157837, 0, 1, 0, 0
0.00157851, 1, 1, 0, 0
0.00157865, 0, 0, 0, 0
0.00157879, 1, 0, 0, 0
0.00157893, 0, 0, 0, 0
0.00157907, 1, 0, 0, 0
0.00157920, 0, 0, 0, 0
0.00157935, 1, 0, 0, 0
0.00157948, 0, 0, 0, 0
0.00157949, 0, 1, 0, 0
0.00157962, 1, 1, 0, 0
0.00157976, 0, 0, 0, 0
0.00157990, 1, 0, 0, 0
0.00158004, 0, 1, 0, 0
0.00158018, 1, 1, 0, 0
0.00158031, 0, 1, 0, 0
0.00158046, 1, 1, 0, 0
0.00158059, 0, 0, 0, 0
0.00158074, 1, 0, 0, 0
0.00158087, 0, 1, 0, 0
0.00158101, 1, 1, 0, 0
0.00158115, 0, 1, 0, 0
0.00158129, 1, 1, 0, 0
0.00158143, 0, 1, 0, 0
0.00158157, 1, 1, 0, 0
0.00158170, 0, 1, 0, 0
0.00158185, 1, 1, 0, 0
0.00158198, 0, 0, 0, 0
0.00158212, 1, 0, 0, 0
0.00158226, 0, 1, 0, 0
0.00158240, 1, 1, 0, 0
0.00158254, 0, 1, 0, 0
0.00158268, 1, 1, 0, 0
0.00158281, 0, 1, 0, 0
0.00158282, 0, 0, 0, 0
0.00158296, 1, 0, 0, 0
0.00158309, 0, 0, 0, 0
0.00158324, 1, 0, 0, 0
0.00158337, 0, 0, 0, 0
0.00158351, 1, 0, 0, 0
0.00158365, 0, 0, 0, 0
0.00158379, 1, 0, 0, 0
0.00158393, 0, 0, 0, 0
0.00158407, 1, 0, 0, 0
0.00158420, 0, 0, 0, 0
0.00158435, 1, 0, 0, 0
0.00158448, 0, 0, 0, 0
0.00158462, 1, 0, 0, 0
0.00158476, 0, 0, 0, 0
0.00158490, 1, 0, 0, 0
0.00158504, 0, 0, 0, 0
0.00158518, 1, 0, 0, 0
0.00158531, 0, 0, 0, 0
0.00158532, 0, 1, 0, 0
0.00158546, 1, 1, 0, 0
0.00158559, 0, 1, 0, 0
0.00158573, 1, 1, 0, 0
0.00158587, 0, 1, 0, 0
0.00158601, 1, 1, 0, 0
0.00158615, 0, 1, 0, 0
0.00158629, 1, 1, 0, 0
0.00158643, 0, 1, 0, 0
0.00158657, 1, 1, 0, 0
0.00158670, 0, 1, 0, 0
0.00158685, 1, 1, 0, 0
0.00158698, 0, 1, 0, 0
0.00158712, 1, 1, 0, 0
0.00158726, 0, 1, 0, 0
0.00158740, 1, 1, 0, 0
0.00158754, 0, 1, 0, 0
0.00158768, 1, 1, 0, 0
0.00158781, 0, 1, 0, 0
0.00158782, 0, 0, 0, 0
0.00158796, 1, 0, 0, 0
0.00158809, 0, 0, 0, 0
0.00158824, 1, 0, 0, 0
0.00158837, 0, 0, 0, 0
0.00158851, 1, 0, 0, 0
0.00158865, 0, 1, 0, 0
0.00158879, 1, 1, 0, 0
0.00158893, 0, 1, 0, 0
0.00158907, 1, 1, 0, 0
0.00158920, 0, 1, 0, 0
0.00158935, 1, 1, 0, 0
0.00158948, 0, 0, 0, 0
0.00158962, 1, 0, 0, 0
0.00158976, 0, 0, 0, 0
0.00158990, 1, 0, 0, 0
0.00159004, 0, 0, 0, 0
0.00159018, 1, 0, 0, 0
0.00159031, 0, 0, 0, 0
0.00159046, 1, 0, 0, 0
0.00159059, 0, 0, 0, 0
0.00159074, 1, 0, 0, 0
0.00159087, 0, 0, 0, 0
0.00159101, 1, 0, 0, 0
0.00159115, 0, 0, 0, 0
0.00159129, 1, 0, 0, 0
0.00159143, 0, 0, 0, 0
0.00159157, 1, 0, 0, 0
0.00159170, 0, 0, 0, 0
0.00159185, 1, 0, 0, 0
0.00159198, 0, 0, 0, 0
0.00159212, 1, 0, 0, 0
0.00159226, 0, 0, 0, 0
0.00159240, 1, 0, 0, 0
0.00159254, 0, 0, 0, 0
0.00159268, 1, 0, 0, 0
0.00159281, 0, 0, 0, 0
0.00159296, 1, 0, 0, 0
0.00159309, 0, 0, 0, 0
0.00159310, 0, 1, 0, 0
0.00159323, 1, 1, 0, 0
0.00159337, 0, 1, 0, 0
0.00159351, 1, 1, 0, 0
0.00159365, 0, 1, 0, 0
0.00159379, 1, 1, 0, 0
0.00159392, 1, 0, 0, 0
0.00159393, 0, 0, 0, 0
0.00159407, 1, 0, 0, 0
0.00159420, 0, 0, 0, 0
0.00159435, 1, 0, 0, 0
0.00159448, 0, 0, 0, 0
0.00159462, 1, 0, 0, 0
0.00159476, 0, 0, 0, 0
0.00159490, 1, 0, 0, 0
0.00159504, 0, 0, 0, 0
0.00159518, 1, 0, 0, 0
0.00159531, 0, 0, 0, 0
0.00159546, 1, 0, 0, 0
0.00159559, 0, 0, 0, 0
0.00159574, 1, 0, 0, 0
0.00159587, 0, 0, 0, 0
0.00159601, 1, 0, 0, 0
0.00159615, 0, 0, 0, 0
0.00159629, 1, 0, 0, 0
0.00159643, 0, 0, 0, 0
0.00159657, 1, 0, 0, 0
0.00159670, 0, 0, 0, 0
0.00159685, 1, 0, 0, 0
0.00159698, 0, 0, 0, 0
0.00159712, 1, 0, 0, 0
0.00159726, 0, 0, 0, 0
0.00159740, 1, 0, 0, 0
0.00159754, 0, 0, 0, 0
0.00159755, 0, 1, 0, 0
0.00159768, 1, 1, 0, 0
0.00159782, 0, 1, 0, 0
0.00159796, 1, 1, 0, 0
