Time [s],Packet ID,MOSI,MISO
0.0000000300,0,0x07D5,0x0000
0.0000044800,0,0x07D5,0x0000
0.0000089200,0,0x07C4,0x0000
0.0000133700,0,0x3800,0x0000
0.0000178100,0,0x3800,0x0000
0.0000222600,0,0x3800,0x0000
0.0000267000,0,0x3800,0x0000
0.0000311400,0,0x3800,0x0000
0.0000355900,0,0x3800,0x0000
0.0000400300,0,0x3800,0x0000
0.0000444800,0,0x3800,0x0000
0.0000489200,0,0x3800,0x0000
0.0000533700,0,0x3800,0x0000
0.0000578100,0,0x3800,0x0000
0.0000622600,0,0x3800,0x0000
0.0000667000,0,0x3800,0x0000
0.0000711400,0,0x3800,0x0000
0.0000755900,0,0x3800,0x0000
0.0000800300,0,0x3800,0x0000
0.0000844800,0,0x3800,0x0000
0.0000889200,0,0x3800,0x0000
0.0000933700,0,0x3800,0x0000
0.0000978100,0,0x3800,0x0000
0.0001022600,0,0x3800,0x0000
0.0001067000,0,0x3800,0x0000
0.0001111400,0,0x3800,0x0000
0.0001155900,0,0x3801,0x0000
0.0001200300,0,0x07C5,0x0000
0.0001244800,0,0x07D5,0x0000
0.0001289200,0,0x07D5,0x0000
0.0001333700,0,0x07D5,0x0000
0.0001378100,0,0x07D5,0x0000
0.0001422600,0,0x07D5,0x0000
0.0001467000,0,0x07D5,0x0000
0.0001511500,0,0x07D5,0x0000
0.0001555900,0,0x07D5,0x0000
0.0001600300,0,0x07D5,0x0000
0.0001644800,0,0x07D5,0x0000
0.0001689200,0,0x07C4,0x0000
0.0001733700,0,0x3800,0x0000
0.0001778100,0,0x3800,0x0000
0.0001822600,0,0x3800,0x0000
0.0001867000,0,0x3800,0x0000
0.0001911400,0,0x3800,0x0000
0.0001955900,0,0x3800,0x0000
0.0002000300,0,0x3800,0x0000
0.0002044800,0,0x3800,0x0000
0.0002089200,0,0x3800,0x0000
0.0002133700,0,0x3800,0x0000
0.0002178100,0,0x3800,0x0000
0.0002222600,0,0x3800,0x0000
0.0002267000,0,0x3800,0x0000
0.0002311500,0,0x3800,0x0000
0.0002355900,0,0x3800,0x0000
0.0002400300,0,0x3800,0x0000
0.0002444800,0,0x3800,0x0000
0.0002489200,0,0x3800,0x0000
0.0002533700,0,0x3800,0x0000
0.0002578100,0,0x3800,0x0000
0.0002622600,0,0x3800,0x0000
0.0002667000,0,0x3800,0x0000
0.0002711500,0,0x3800,0x0000
0.0002755900,0,0x3801,0x0000
0.0002800300,0,0x07C5,0x0000
0.0002844800,0,0x07D5,0x0000
0.0002889200,0,0x07D5,0x0000
0.0002933700,0,0x07D5,0x0000
0.0002978100,0,0x07D5,0x0000
0.0003022600,0,0x07D5,0x0000
0.0003067000,0,0x07D5,0x0000
0.0003111500,0,0x07D5,0x0000
0.0003155900,0,0x07D5,0x0000
0.0003200300,0,0x07D5,0x0000
0.0003244800,0,0x07D5,0x0000
0.0003289200,0,0x07C4,0x0000
0.0003333700,0,0x3800,0x0000
0.0003378100,0,0x3800,0x0000
0.0003422600,0,0x3800,0x0000
0.0003467000,0,0x3800,0x0000
0.0003511500,0,0x3800,0x0000
0.0003555900,0,0x3800,0x0000
0.0003600300,0,0x3800,0x0000
0.0003644800,0,0x3800,0x0000
0.0003689200,0,0x3800,0x0000
0.0003733700,0,0x3800,0x0000
0.0003778100,0,0x3800,0x0000
0.0003822600,0,0x3800,0x0000
0.0003867000,0,0x3800,0x0000
0.0003911500,0,0x3800,0x0000
0.0003955900,0,0x3800,0x0000
0.0004000300,0,0x3800,0x0000
0.0004044800,0,0x3800,0x0000
0.0004089200,0,0x3800,0x0000
0.0004133700,0,0x3800,0x0000
