Time[s], 通道 0, 通道 1, 通道 2, 通道 3
0.00000000, 0, 0, 1, 0
0.00070429, 0, 0, 1, 1
0.00071268, 0, 0, 1, 0
0.00091601, 0, 0, 0, 0
0.00091741, 1, 0, 0, 0
0.00091754, 0, 0, 0, 0
0.00091755, 0, 1, 0, 0
0.00091769, 1, 1, 0, 0
0.00091781, 0, 0, 0, 0
0.00091796, 1, 0, 0, 0
0.00091809, 0, 0, 0, 0
0.00091810, 0, 1, 0, 0
0.00091824, 1, 1, 0, 0
0.00091837, 0, 0, 0, 0
0.00091852, 1, 0, 0, 0
0.00091865, 0, 0, 0, 0
0.00091866, 0, 1, 0, 0
0.00091880, 1, 1, 0, 0
0.00091893, 0, 0, 0, 0
0.00091907, 1, 0, 0, 0
0.00091921, 0, 1, 0, 0
0.00091935, 1, 1, 0, 0
0.00091948, 0, 1, 0, 0
0.00091963, 1, 1, 0, 0
0.00091976, 0, 0, 0, 0
0.00091991, 1, 0, 0, 0
0.00092004, 0, 1, 0, 0
0.00092018, 1, 1, 0, 0
0.00092032, 0, 0, 0, 0
0.00092046, 1, 0, 0, 0
0.00092060, 0, 1, 0, 0
0.00092074, 1, 1, 0, 0
0.00092087, 0, 0, 0, 0
0.00092102, 1, 0, 0, 0
0.00092115, 0, 1, 0, 0
0.00092129, 1, 1, 0, 0
0.00092143, 0, 0, 0, 0
0.00092157, 1, 0, 0, 0
0.00092171, 0, 0, 0, 0
0.00092185, 1, 0, 0, 0
0.00092198, 0, 0, 0, 0
0.00092213, 1, 0, 0, 0
0.00092226, 0, 0, 0, 0
0.00092227, 0, 1, 0, 0
0.00092240, 1, 1, 0, 0
0.00092254, 0, 0, 0, 0
0.00092268, 1, 0, 0, 0
0.00092282, 0, 1, 0, 0
0.00092296, 1, 1, 0, 0
0.00092310, 0, 1, 0, 0
0.00092324, 1, 1, 0, 0
0.00092337, 0, 0, 0, 0
0.00092352, 1, 0, 0, 0
0.00092365, 0, 1, 0, 0
0.00092379, 1, 1, 0, 0
0.00092393, 0, 1, 0, 0
0.00092407, 1, 1, 0, 0
0.00092421, 0, 1, 0, 0
0.00092435, 1, 1, 0, 0
0.00092449, 0, 1, 0, 0
0.00092463, 1, 1, 0, 0
0.00092476, 0, 0, 0, 0
0.00092491, 1, 0, 0, 0
0.00092504, 0, 1, 0, 0
0.00092518, 1, 1, 0, 0
0.00092532, 0, 1, 0, 0
0.00092546, 1, 1, 0, 0
0.00092560, 0, 0, 0, 0
0.00092574, 1, 0, 0, 0
0.00092587, 0, 0, 0, 0
0.00092602, 1, 0, 0, 0
0.00092615, 0, 0, 0, 0
0.00092629, 1, 0, 0, 0
0.00092643, 0, 0, 0, 0
0.00092657, 1, 0, 0, 0
0.00092671, 0, 0, 0, 0
0.00092685, 1, 0, 0, 0
0.00092698, 0, 0, 0, 0
0.00092713, 1, 0, 0, 0
0.00092726, 0, 0, 0, 0
0.00092741, 1, 0, 0, 0
0.00092754, 0, 0, 0, 0
0.00092768, 1, 0, 0, 0
0.00092782, 0, 0, 0, 0
0.00092796, 1, 0, 0, 0
0.00092810, 0, 1, 0, 0
0.00092824, 1, 1, 0, 0
0.00092837, 0, 1, 0, 0
0.00092851, 1, 1, 0, 0
0.00092865, 0, 1, 0, 0
0.00092879, 1, 1, 0, 0
0.00092893, 0, 1, 0, 0
0.00092907, 1, 1, 0, 0
0.00092921, 0, 1, 0, 0
0.00092935, 1, 1, 0, 0
0.00092949, 0, 1, 0, 0
0.00092963, 1, 1, 0, 0
0.00092976, 0, 1, 0, 0
0.00092990, 1, 1, 0, 0
0.00093004, 0, 1, 0, 0
0.00093018, 1, 1, 0, 0
0.00093032, 0, 1, 0, 0
0.00093046, 1, 1, 0, 0
0.00093060, 0, 0, 0, 0
0.00093074, 1, 0, 0, 0
0.00093087, 0, 0, 0, 0
0.00093102, 1, 0, 0, 0
0.00093115, 0, 0, 0, 0
0.00093129, 1, 0, 0, 0
0.00093143, 0, 1, 0, 0
0.00093157, 1, 1, 0, 0
0.00093171, 0, 1, 0, 0
0.00093185, 1, 1, 0, 0
0.00093199, 0, 1, 0, 0
0.00093213, 1, 1, 0, 0
0.00093226, 0, 1, 0, 0
0.00093240, 1, 1, 0, 0
0.00093254, 0, 1, 0, 0
0.00093268, 1, 1, 0, 0
0.00093282, 0, 1, 0, 0
0.00093296, 1, 1, 0, 0
0.00093310, 0, 1, 0, 0
0.00093324, 1, 1, 0, 0
0.00093337, 0, 1, 0, 0
0.00093338, 0, 0, 0, 0
0.00093352, 1, 0, 0, 0
0.00093365, 0, 0, 0, 0
0.00093379, 1, 0, 0, 0
0.00093393, 0, 1, 0, 0
0.00093407, 1, 1, 0, 0
0.00093421, 0, 1, 0, 0
0.00093435, 1, 1, 0, 0
0.00093448, 0, 1, 0, 0
0.00093449, 0, 0, 0, 0
0.00093463, 1, 0, 0, 0
0.00093476, 0, 1, 0, 0
0.00093490, 1, 1, 0, 0
0.00093504, 0, 0, 0, 0
0.00093518, 1, 0, 0, 0
0.00093532, 0, 0, 0, 0
0.00093546, 1, 0, 0, 0
0.00093560, 0, 0, 0, 0
0.00093574, 1, 0, 0, 0
0.00093587, 0, 0, 0, 0
0.00093588, 0, 1, 0, 0
0.00093601, 1, 1, 0, 0
0.00093615, 0, 1, 0, 0
0.00093629, 1, 1, 0, 0
0.00093643, 0, 1, 0, 0
0.00093657, 1, 1, 0, 0
0.00093671, 0, 1, 0, 0
0.00093685, 1, 1, 0, 0
0.00093699, 0, 1, 0, 0
0.00093713, 1, 1, 0, 0
0.00093726, 0, 1, 0, 0
0.00093740, 1, 1, 0, 0
0.00093754, 0, 1, 0, 0
0.00093768, 1, 1, 0, 0
0.00093782, 0, 0, 0, 0
0.00093796, 1, 0, 0, 0
0.00093810, 0, 0, 0, 0
0.00093824, 1, 0, 0, 0
0.00093837, 0, 0, 0, 0
0.00093838, 0, 1, 0, 0
0.00093852, 1, 1, 0, 0
0.00093865, 0, 1, 0, 0
0.00093879, 1, 1, 0, 0
0.00093893, 0, 0, 0, 0
0.00093907, 1, 0, 0, 0
0.00093921, 0, 1, 0, 0
0.00093935, 1, 1, 0, 0
0.00093948, 0, 1, 0, 0
0.00093949, 0, 0, 0, 0
0.00093963, 1, 0, 0, 0
0.00093976, 0, 0, 0, 0
0.00093991, 1, 0, 0, 0
0.00094004, 0, 0, 0, 0
0.00094018, 1, 0, 0, 0
0.00094032, 0, 1, 0, 0
0.00094046, 1, 1, 0, 0
0.00094060, 0, 1, 0, 0
0.00094074, 1, 1, 0, 0
0.00094087, 0, 1, 0, 0
0.00094101, 1, 1, 0, 0
0.00094115, 0, 1, 0, 0
0.00094129, 1, 1, 0, 0
0.00094143, 0, 1, 0, 0
0.00094157, 1, 1, 0, 0
0.00094171, 0, 1, 0, 0
0.00094185, 1, 1, 0, 0
0.00094199, 0, 1, 0, 0
0.00094213, 1, 1, 0, 0
0.00094226, 0, 0, 0, 0
0.00094241, 1, 0, 0, 0
0.00094254, 0, 0, 0, 0
0.00094268, 1, 0, 0, 0
0.00094282, 0, 1, 0, 0
0.00094296, 1, 1, 0, 0
0.00094310, 0, 1, 0, 0
0.00094324, 1, 1, 0, 0
0.00094337, 0, 1, 0, 0
0.00094338, 0, 0, 0, 0
0.00094352, 1, 0, 0, 0
0.00094365, 0, 1, 0, 0
0.00094379, 1, 1, 0, 0
0.00094393, 0, 0, 0, 0
0.00094407, 1, 0, 0, 0
0.00094421, 0, 0, 0, 0
0.00094435, 1, 0, 0, 0
0.00094448, 0, 0, 0, 0
0.00094463, 1, 0, 0, 0
0.00094476, 0, 0, 0, 0
0.00094477, 0, 1, 0, 0
0.00094490, 1, 1, 0, 0
0.00094504, 0, 1, 0, 0
0.00094518, 1, 1, 0, 0
0.00094532, 0, 1, 0, 0
0.00094546, 1, 1, 0, 0
0.00094560, 0, 1, 0, 0
0.00094574, 1, 1, 0, 0
0.00094587, 0, 1, 0, 0
0.00094601, 1, 1, 0, 0
0.00094615, 0, 1, 0, 0
0.00094629, 1, 1, 0, 0
0.00094643, 0, 1, 0, 0
0.00094657, 1, 1, 0, 0
0.00094671, 0, 0, 0, 0
0.00094685, 1, 0, 0, 0
0.00094698, 0, 0, 0, 0
0.00094713, 1, 0, 0, 0
0.00094726, 0, 1, 0, 0
0.00094740, 1, 1, 0, 0
0.00094754, 0, 1, 0, 0
0.00094768, 1, 1, 0, 0
0.00094782, 0, 0, 0, 0
0.00094796, 1, 0, 0, 0
0.00094810, 0, 1, 0, 0
0.00094824, 1, 1, 0, 0
0.00094837, 0, 1, 0, 0
0.00094838, 0, 0, 0, 0
0.00094852, 1, 0, 0, 0
0.00094865, 0, 0, 0, 0
0.00094879, 1, 0, 0, 0
0.00094893, 0, 0, 0, 0
0.00094907, 1, 0, 0, 0
0.00094921, 0, 1, 0, 0
0.00094935, 1, 1, 0, 0
0.00094949, 0, 1, 0, 0
0.00094963, 1, 1, 0, 0
0.00094976, 0, 1, 0, 0
0.00094990, 1, 1, 0, 0
0.00095004, 0, 1, 0, 0
0.00095018, 1, 1, 0, 0
0.00095032, 0, 1, 0, 0
0.00095046, 1, 1, 0, 0
0.00095060, 0, 1, 0, 0
0.00095074, 1, 1, 0, 0
0.00095087, 0, 1, 0, 0
0.00095101, 1, 1, 0, 0
0.00095115, 0, 0, 0, 0
0.00095129, 1, 0, 0, 0
0.00095143, 0, 0, 0, 0
0.00095157, 1, 0, 0, 0
0.00095171, 0, 1, 0, 0
0.00095185, 1, 1, 0, 0
0.00095199, 0, 1, 0, 0
0.00095213, 1, 1, 0, 0
0.00095226, 0, 0, 0, 0
0.00095241, 1, 0, 0, 0
0.00095254, 0, 1, 0, 0
0.00095268, 1, 1, 0, 0
0.00095282, 0, 0, 0, 0
0.00095296, 1, 0, 0, 0
0.00095310, 0, 0, 0, 0
0.00095324, 1, 0, 0, 0
0.00095337, 0, 0, 0, 0
0.00095352, 1, 0, 0, 0
0.00095365, 0, 0, 0, 0
0.00095366, 0, 1, 0, 0
0.00095379, 1, 1, 0, 0
0.00095393, 0, 1, 0, 0
0.00095407, 1, 1, 0, 0
0.00095421, 0, 1, 0, 0
0.00095435, 1, 1, 0, 0
0.00095449, 0, 1, 0, 0
0.00095463, 1, 1, 0, 0
0.00095476, 0, 1, 0, 0
0.00095490, 1, 1, 0, 0
0.00095504, 0, 1, 0, 0
0.00095518, 1, 1, 0, 0
0.00095532, 0, 1, 0, 0
0.00095546, 1, 1, 0, 0
0.00095560, 0, 0, 0, 0
0.00095574, 1, 0, 0, 0
0.00095587, 0, 0, 0, 0
0.00095602, 1, 0, 0, 0
0.00095615, 0, 1, 0, 0
0.00095629, 1, 1, 0, 0
0.00095643, 0, 1, 0, 0
0.00095657, 1, 1, 0, 0
0.00095671, 0, 0, 0, 0
0.00095685, 1, 0, 0, 0
0.00095699, 0, 1, 0, 0
0.00095713, 1, 1, 0, 0
0.00095726, 0, 0, 0, 0
0.00095741, 1, 0, 0, 0
0.00095754, 0, 0, 0, 0
0.00095768, 1, 0, 0, 0
0.00095782, 0, 0, 0, 0
0.00095796, 1, 0, 0, 0
0.00095810, 0, 1, 0, 0
0.00095824, 1, 1, 0, 0
0.00095837, 0, 1, 0, 0
0.00095851, 1, 1, 0, 0
0.00095865, 0, 1, 0, 0
0.00095879, 1, 1, 0, 0
0.00095893, 0, 1, 0, 0
0.00095907, 1, 1, 0, 0
0.00095921, 0, 1, 0, 0
0.00095935, 1, 1, 0, 0
0.00095949, 0, 1, 0, 0
0.00095963, 1, 1, 0, 0
0.00095976, 0, 1, 0, 0
0.00095990, 1, 1, 0, 0
0.00096004, 0, 0, 0, 0
0.00096018, 1, 0, 0, 0
0.00096032, 0, 0, 0, 0
0.00096046, 1, 0, 0, 0
0.00096060, 0, 1, 0, 0
0.00096074, 1, 1, 0, 0
0.00096087, 0, 1, 0, 0
0.00096102, 1, 1, 0, 0
0.00096115, 0, 0, 0, 0
0.00096129, 1, 0, 0, 0
0.00096143, 0, 1, 0, 0
0.00096157, 1, 1, 0, 0
0.00096171, 0, 0, 0, 0
0.00096185, 1, 0, 0, 0
0.00096198, 0, 0, 0, 0
0.00096213, 1, 0, 0, 0
0.00096226, 0, 0, 0, 0
0.00096241, 1, 0, 0, 0
0.00096254, 0, 0, 0, 0
0.00096255, 0, 1, 0, 0
0.00096268, 1, 1, 0, 0
0.00096282, 0, 1, 0, 0
0.00096296, 1, 1, 0, 0
0.00096310, 0, 1, 0, 0
0.00096324, 1, 1, 0, 0
0.00096337, 0, 1, 0, 0
0.00096351, 1, 1, 0, 0
0.00096365, 0, 1, 0, 0
0.00096379, 1, 1, 0, 0
0.00096393, 0, 1, 0, 0
0.00096407, 1, 1, 0, 0
0.00096421, 0, 1, 0, 0
0.00096435, 1, 1, 0, 0
0.00096448, 0, 1, 0, 0
0.00096449, 0, 0, 0, 0
0.00096463, 1, 0, 0, 0
0.00096476, 0, 0, 0, 0
0.00096491, 1, 0, 0, 0
0.00096504, 0, 1, 0, 0
0.00096518, 1, 1, 0, 0
0.00096532, 0, 1, 0, 0
0.00096546, 1, 1, 0, 0
0.00096560, 0, 0, 0, 0
0.00096574, 1, 0, 0, 0
0.00096587, 0, 0, 0, 0
0.00096588, 0, 1, 0, 0
0.00096601, 1, 1, 0, 0
0.00096615, 0, 0, 0, 0
0.00096629, 1, 0, 0, 0
0.00096643, 0, 0, 0, 0
0.00096657, 1, 0, 0, 0
0.00096671, 0, 0, 0, 0
0.00096685, 1, 0, 0, 0
0.00096699, 0, 1, 0, 0
0.00096713, 1, 1, 0, 0
0.00096726, 0, 1, 0, 0
0.00096740, 1, 1, 0, 0
0.00096754, 0, 1, 0, 0
0.00096768, 1, 1, 0, 0
0.00096782, 0, 1, 0, 0
0.00096796, 1, 1, 0, 0
0.00096810, 0, 1, 0, 0
0.00096824, 1, 1, 0, 0
0.00096837, 0, 1, 0, 0
0.00096852, 1, 1, 0, 0
0.00096865, 0, 1, 0, 0
0.00096879, 1, 1, 0, 0
0.00096893, 0, 0, 0, 0
0.00096907, 1, 0, 0, 0
0.00096921, 0, 0, 0, 0
0.00096935, 1, 0, 0, 0
0.00096949, 0, 1, 0, 0
0.00096963, 1, 1, 0, 0
0.00096976, 0, 1, 0, 0
0.00096990, 1, 1, 0, 0
0.00097004, 0, 0, 0, 0
0.00097018, 1, 0, 0, 0
0.00097032, 0, 1, 0, 0
0.00097046, 1, 1, 0, 0
0.00097060, 0, 0, 0, 0
0.00097074, 1, 0, 0, 0
0.00097087, 0, 0, 0, 0
0.00097102, 1, 0, 0, 0
0.00097115, 0, 0, 0, 0
0.00097129, 1, 0, 0, 0
0.00097143, 0, 1, 0, 0
0.00097157, 1, 1, 0, 0
0.00097171, 0, 1, 0, 0
0.00097185, 1, 1, 0, 0
0.00097199, 0, 1, 0, 0
0.00097213, 1, 1, 0, 0
0.00097226, 0, 1, 0, 0
0.00097240, 1, 1, 0, 0
0.00097254, 0, 1, 0, 0
0.00097268, 1, 1, 0, 0
0.00097282, 0, 1, 0, 0
0.00097296, 1, 1, 0, 0
0.00097310, 0, 1, 0, 0
0.00097324, 1, 1, 0, 0
0.00097337, 0, 1, 0, 0
0.00097338, 0, 0, 0, 0
0.00097352, 1, 0, 0, 0
0.00097365, 0, 0, 0, 0
0.00097379, 1, 0, 0, 0
0.00097393, 0, 1, 0, 0
0.00097407, 1, 1, 0, 0
0.00097421, 0, 1, 0, 0
0.00097435, 1, 1, 0, 0
0.00097448, 0, 1, 0, 0
0.00097449, 0, 0, 0, 0
0.00097463, 1, 0, 0, 0
0.00097476, 0, 1, 0, 0
0.00097490, 1, 1, 0, 0
0.00097504, 0, 0, 0, 0
0.00097518, 1, 0, 0, 0
0.00097532, 0, 0, 0, 0
0.00097546, 1, 0, 0, 0
0.00097560, 0, 0, 0, 0
0.00097574, 1, 0, 0, 0
0.00097588, 0, 1, 0, 0
0.00097601, 1, 1, 0, 0
0.00097615, 0, 1, 0, 0
0.00097629, 1, 1, 0, 0
0.00097643, 0, 1, 0, 0
0.00097657, 1, 1, 0, 0
0.00097671, 0, 1, 0, 0
0.00097685, 1, 1, 0, 0
0.00097699, 0, 1, 0, 0
0.00097713, 1, 1, 0, 0
0.00097726, 0, 1, 0, 0
0.00097740, 1, 1, 0, 0
0.00097754, 0, 1, 0, 0
0.00097768, 1, 1, 0, 0
0.00097782, 0, 0, 0, 0
0.00097796, 1, 0, 0, 0
0.00097810, 0, 0, 0, 0
0.00097824, 1, 0, 0, 0
0.00097837, 0, 0, 0, 0
0.00097838, 0, 1, 0, 0
0.00097851, 1, 1, 0, 0
0.00097865, 0, 1, 0, 0
0.00097879, 1, 1, 0, 0
0.00097893, 0, 0, 0, 0
0.00097907, 1, 0, 0, 0
0.00097921, 0, 1, 0, 0
0.00097935, 1, 1, 0, 0
0.00097948, 0, 1, 0, 0
0.00097949, 0, 0, 0, 0
0.00097963, 1, 0, 0, 0
0.00097976, 0, 0, 0, 0
0.00097991, 1, 0, 0, 0
0.00098004, 0, 0, 0, 0
0.00098018, 1, 0, 0, 0
0.00098032, 0, 1, 0, 0
0.00098046, 1, 1, 0, 0
0.00098060, 0, 1, 0, 0
0.00098074, 1, 1, 0, 0
0.00098087, 0, 1, 0, 0
0.00098101, 1, 1, 0, 0
0.00098115, 0, 1, 0, 0
0.00098129, 1, 1, 0, 0
0.00098143, 0, 1, 0, 0
0.00098157, 1, 1, 0, 0
0.00098171, 0, 1, 0, 0
0.00098185, 1, 1, 0, 0
0.00098199, 0, 1, 0, 0
0.00098213, 1, 1, 0, 0
0.00098226, 0, 0, 0, 0
0.00098241, 1, 0, 0, 0
0.00098254, 0, 0, 0, 0
0.00098268, 1, 0, 0, 0
0.00098282, 0, 1, 0, 0
0.00098296, 1, 1, 0, 0
0.00098310, 0, 1, 0, 0
0.00098324, 1, 1, 0, 0
0.00098337, 0, 1, 0, 0
0.00098338, 0, 0, 0, 0
0.00098352, 1, 0, 0, 0
0.00098365, 0, 1, 0, 0
0.00098379, 1, 1, 0, 0
0.00098393, 0, 0, 0, 0
0.00098407, 1, 0, 0, 0
0.00098421, 0, 0, 0, 0
0.00098435, 1, 0, 0, 0
0.00098448, 0, 0, 0, 0
0.00098463, 1, 0, 0, 0
0.00098476, 0, 0, 0, 0
